Local time,Open,High,Low,Close,Volume
07.03.2024 23:00:00.000 GMT+0100,1.7932,1.8342,1.7529,1.8030,1.1692
08.03.2024 23:00:00.000 GMT+0100,1.8030,1.8030,1.8030,1.8030,0
09.03.2024 23:00:00.000 GMT+0100,1.8030,1.8030,1.8030,1.8030,0
10.03.2024 22:00:00.000 GMT+0100,1.8032,1.8351,1.7419,1.7460,0.8997999999999998
11.03.2024 22:00:00.000 GMT+0100,1.7470,1.8199,1.6889,1.7041,1.311
12.03.2024 22:00:00.000 GMT+0100,1.7079,1.7127,1.6500,1.6591,1.2995
13.03.2024 22:00:00.000 GMT+0100,1.6579,1.7642,1.6412,1.7489,1.3742
14.03.2024 22:00:00.000 GMT+0100,1.7521,1.7712,1.6430,1.6591,1.3902
15.03.2024 22:00:00.000 GMT+0100,1.6591,1.6591,1.6591,1.6591,0
16.03.2024 22:00:00.000 GMT+0100,1.6591,1.6591,1.6591,1.6591,0
17.03.2024 22:00:00.000 GMT+0100,1.6892,1.7597,1.6790,1.7092,1.3302
18.03.2024 22:00:00.000 GMT+0100,1.7097,1.7667,1.7010,1.7419,1.3952
19.03.2024 22:00:00.000 GMT+0100,1.7441,1.7587,1.6830,1.6910,1.3596
20.03.2024 22:00:00.000 GMT+0100,1.6942,1.7072,1.6500,1.6897,1.5941999999999998
21.03.2024 22:00:00.000 GMT+0100,1.8351,1.8539,1.7892,1.8032,2.6231999999999998
22.03.2024 22:00:00.000 GMT+0100,1.8032,1.8032,1.8032,1.8032,0
23.03.2024 22:00:00.000 GMT+0100,1.8032,1.8032,1.8032,1.8032,0
24.03.2024 22:00:00.000 GMT+0100,1.8117,1.8182,1.7550,1.7939,2.7511999999999994
25.03.2024 22:00:00.000 GMT+0100,1.7947,1.8237,1.7729,1.7801,3.6322
26.03.2024 22:00:00.000 GMT+0100,1.7801,1.7817,1.7019,1.7091,3.3360000000000003
27.03.2024 22:00:00.000 GMT+0100,1.7120,1.7837,1.6822,1.7452,3.2523999999999997
28.03.2024 22:00:00.000 GMT+0100,1.7452,1.7452,1.7452,1.7452,0
29.03.2024 22:00:00.000 GMT+0100,1.7452,1.7452,1.7452,1.7452,0
30.03.2024 22:00:00.000 GMT+0100,1.7452,1.7452,1.7452,1.7452,0
31.03.2024 23:00:00.000 GMT+0200,1.7469,1.8507,1.7011,1.8362,4.7512
01.04.2024 23:00:00.000 GMT+0200,1.8321,1.8787,1.7761,1.8427,4.269499999999999
02.04.2024 23:00:00.000 GMT+0200,1.8470,1.9031,1.8330,1.8379,2.5934000000000004
03.04.2024 23:00:00.000 GMT+0200,1.8369,1.8482,1.7667,1.7731,3.0388999999999995
04.04.2024 23:00:00.000 GMT+0200,1.7750,1.8207,1.7500,1.7791,3.1314999999999995
05.04.2024 23:00:00.000 GMT+0200,1.7791,1.7791,1.7791,1.7791,0
06.04.2024 23:00:00.000 GMT+0200,1.7791,1.7791,1.7791,1.7791,0
07.04.2024 23:00:00.000 GMT+0200,1.7591,1.8477,1.7500,1.8357,3.0953
08.04.2024 23:00:00.000 GMT+0200,1.8361,1.9187,1.8322,1.8829,3.4556
09.04.2024 23:00:00.000 GMT+0200,1.8860,1.9400,1.8631,1.8699,3.0248999999999997
10.04.2024 23:00:00.000 GMT+0200,1.8687,1.8862,1.7519,1.7620,4.5908
11.04.2024 23:00:00.000 GMT+0200,1.7620,1.7821,1.7287,1.7679,3.5093
12.04.2024 23:00:00.000 GMT+0200,1.7679,1.7679,1.7679,1.7679,0
13.04.2024 23:00:00.000 GMT+0200,1.7679,1.7679,1.7679,1.7679,0
14.04.2024 23:00:00.000 GMT+0200,1.7707,1.7831,1.6759,1.6841,3.6011
15.04.2024 23:00:00.000 GMT+0200,1.6860,1.7990,1.6501,1.6717,3.6502
16.04.2024 23:00:00.000 GMT+0200,1.6709,1.7187,1.6600,1.7119,2.8639999999999994
17.04.2024 23:00:00.000 GMT+0200,1.7149,1.7782,1.7070,1.7399,3.4386
18.04.2024 23:00:00.000 GMT+0200,1.7350,1.8047,1.7210,1.7551,4.0611999999999995
19.04.2024 23:00:00.000 GMT+0200,1.7551,1.7551,1.7551,1.7551,0
20.04.2024 23:00:00.000 GMT+0200,1.7551,1.7551,1.7551,1.7551,0
21.04.2024 23:00:00.000 GMT+0200,1.7557,1.7941,1.7172,1.7899,4.447099999999999
22.04.2024 23:00:00.000 GMT+0200,1.7880,1.8422,1.7419,1.8331,3.5164999999999997
23.04.2024 23:00:00.000 GMT+0200,2.1221,2.1269,1.9559,1.9641,5.824699999999999
24.04.2024 23:00:00.000 GMT+0200,1.9642,1.9902,1.9240,1.9777,4.2719000000000005
25.04.2024 23:00:00.000 GMT+0200,1.9742,1.9967,1.9069,1.9150,3.6802
26.04.2024 23:00:00.000 GMT+0200,1.9150,1.9150,1.9150,1.9150,0
27.04.2024 23:00:00.000 GMT+0200,1.9150,1.9150,1.9150,1.9150,0
28.04.2024 23:00:00.000 GMT+0200,1.9200,2.0480,1.9152,2.0432,5.6493
29.04.2024 23:00:00.000 GMT+0200,2.0440,2.0887,1.9467,1.9510,3.9509000000000003
30.04.2024 23:00:00.000 GMT+0200,1.9502,1.9670,1.9109,1.9240,3.1338000000000004
01.05.2024 23:00:00.000 GMT+0200,1.9241,2.0471,1.9220,2.0237,4.679200000000001
02.05.2024 23:00:00.000 GMT+0200,2.0277,2.1579,2.0069,2.1447,5.3866000000000005
03.05.2024 23:00:00.000 GMT+0200,2.1447,2.1447,2.1447,2.1447,0
04.05.2024 23:00:00.000 GMT+0200,2.1447,2.1447,2.1447,2.1447,0
05.05.2024 23:00:00.000 GMT+0200,2.1601,2.2607,2.1270,2.1930,5.7249
06.05.2024 23:00:00.000 GMT+0200,2.1981,2.2270,2.1359,2.2140,4.4463
07.05.2024 23:00:00.000 GMT+0200,2.2140,2.2712,2.1649,2.1772,3.7261
08.05.2024 23:00:00.000 GMT+0200,2.1787,2.3147,2.1501,2.3037,4.6425
09.05.2024 23:00:00.000 GMT+0200,2.3032,2.3377,2.2371,2.2471,4.0229
10.05.2024 23:00:00.000 GMT+0200,2.2471,2.2471,2.2471,2.2471,0
11.05.2024 23:00:00.000 GMT+0200,2.2471,2.2471,2.2471,2.2471,0
12.05.2024 23:00:00.000 GMT+0200,2.2367,2.3812,2.2087,2.3592,5.466900000000001
13.05.2024 23:00:00.000 GMT+0200,2.3581,2.3939,2.3039,2.3352,3.9814
14.05.2024 23:00:00.000 GMT+0200,2.3350,2.4211,2.3109,2.3989,4.2367
15.05.2024 23:00:00.000 GMT+0200,2.3989,2.5732,2.3841,2.4852,5.2109
16.05.2024 23:00:00.000 GMT+0200,2.4839,2.6510,2.4791,2.6309,5.4361999999999995
17.05.2024 23:00:00.000 GMT+0200,2.6309,2.6309,2.6309,2.6309,0
18.05.2024 23:00:00.000 GMT+0200,2.6309,2.6309,2.6309,2.6309,0
19.05.2024 23:00:00.000 GMT+0200,2.6520,2.7531,2.6199,2.7331,6.340699999999999
20.05.2024 23:00:00.000 GMT+0200,2.7317,2.7960,2.6389,2.6541,4.953099999999999
21.05.2024 23:00:00.000 GMT+0200,2.6582,2.8472,2.6060,2.7901,6.0348000000000015
22.05.2024 23:00:00.000 GMT+0200,2.7931,2.9187,2.6380,2.6627,6.430700000000001
23.05.2024 23:00:00.000 GMT+0200,2.6650,2.7037,2.5097,2.5097,5.303599999999999
24.05.2024 23:00:00.000 GMT+0200,2.5097,2.5097,2.5097,2.5097,0
25.05.2024 23:00:00.000 GMT+0200,2.5097,2.5097,2.5097,2.5097,0
26.05.2024 23:00:00.000 GMT+0200,2.7531,2.8512,2.7269,2.7932,1.3401999999999998
27.05.2024 23:00:00.000 GMT+0200,2.7920,2.8427,2.7319,2.8339,4.4068
28.05.2024 23:00:00.000 GMT+0200,2.8327,2.8417,2.6499,2.6509,4.6181
29.05.2024 23:00:00.000 GMT+0200,2.6621,2.6787,2.5570,2.5651,4.2555000000000005
30.05.2024 23:00:00.000 GMT+0200,2.5580,2.6209,2.5162,2.5739,4.672000000000001
31.05.2024 23:00:00.000 GMT+0200,2.5739,2.5739,2.5739,2.5739,0
01.06.2024 23:00:00.000 GMT+0200,2.5739,2.5739,2.5739,2.5739,0
